,CCR3,PDGFRL,FMO1,TCTEX1D1,SELENOP,CDH10
TCGA.BR.A44T.01,0.0428,1.9087,1.5181,0.3588,2.676,0.0882
TCGA.BR.7901.01,0.0486,2.2746,0.518,0.1547,9.7283,0.0218
TCGA.BR.6563.01,0.0351,9.3517,2.6486,0.1908,14.6309,0.188
TCGA.BR.8380.01,0.0108,3.007,1.3217,0.265,5.6327,0.0881
TCGA.BR.7704.01,0.053,0.6596,0.4081,0.1188,0.2481,0
TCGA.CD.5804.01,0.0942,2.963,0.3162,0.2223,1.025,0.0408
TCGA.VQ.A94U.01,0.0174,1.0964,2.0504,0.314,3.573,0.0678
TCGA.VQ.A8P2.01,0.0588,0.1891,0.4606,0.0454,2.3084,0
TCGA.BR.8589.01,0.0743,0.2192,0.5891,0.1342,4.3969,0.0652
TCGA.VQ.A94P.01,0.0392,5.3015,0.9081,0.572,5.2466,0.4416
TCGA.VQ.AA6J.01,0.0384,0.2398,0.9284,0.1381,11.9603,0
TCGA.D7.6526.01,0.0767,0.3037,0.3521,0.0643,4.3111,0
TCGA.BR.4370.01,0.9353,6.2245,1.5355,0.492,4.1558,0.3461
TCGA.D7.5578.01,0.0998,0.8312,0.3083,0.1497,8.5605,0.0057
TCGA.VQ.AA6G.01,0.0204,0.1402,0.0874,0.1009,14.7003,0
TCGA.HF.A5NB.01,0.0112,0.0413,0.3605,0.0149,1.7574,0
TCGA.CD.A48A.01,0.0568,0.6622,0.4602,0.285,5.393,0.0554
TCGA.D7.8574.01,0.1784,2.9969,3.2558,0.2181,9.6127,1.1173
TCGA.BR.8284.01,0.135,0.9956,0.4918,0.1518,3.8431,0.1084
TCGA.VQ.A8DZ.01,0.1759,0.6428,0.5662,0.0973,5.1059,0.0036
TCGA.D7.6818.01,0.3352,6.0206,1.2779,0.1834,22.8941,0.1436
TCGA.BR.A4QL.01,0.0035,0.2482,0.3439,0.0521,0.5685,0
TCGA.RD.A7BS.01,0.386,1.0926,1.3152,0.5738,1.8322,0.3913
TCGA.HU.A4GD.01,0.4884,0.7866,1.5855,0.1436,1.2426,0.3516
TCGA.BR.8680.01,0.0203,0.9637,0.6575,0.0753,0.8215,0.0494
TCGA.VQ.A92D.01,0.0034,0.5571,0.1517,0.1048,3.4371,0
TCGA.BR.6454.01,0.0628,5.2653,1.2367,0.0667,4.2202,0.0544
TCGA.HU.8238.01,0.0765,0.46,0.3265,0.15,4.8401,0.0746
TCGA.BR.4294.01,0.0223,6.4768,0.3007,0.0427,13.7429,1.1664
TCGA.BR.8588.01,0.1854,2.0416,0.3443,0.3876,2.0552,0.1469
TCGA.BR.6453.01,0.0819,1.8944,4.3611,0.2742,12.4661,0.4421
TCGA.BR.8381.01,0.0732,1.8122,1.8336,0.101,0.8588,0.1284
TCGA.BR.6564.01,0.0143,3.8236,0.46,0.1745,5.1194,0.1741
TCGA.BR.8367.01,0.04,3.3077,2.9439,0.217,9.4868,0.0606
TCGA.BR.6705.01,0,14.4871,5.7211,0.5667,9.9752,0.0143
TCGA.BR.7959.01,0.0472,5.481,1.729,0.253,12.4576,0
TCGA.D7.A6F0.01,0.0486,3.8458,0.694,0.1363,1.714,0
TCGA.FP.7998.01,0.1895,0.8066,1.9798,0.3019,8.1009,0.0294
TCGA.R5.A7ZI.01,0.0101,0.104,0.8782,0.1284,1.6203,0
TCGA.RD.A7BW.01,0.1867,3.903,1.1767,0.4325,7.5106,0.1654
TCGA.BR.8676.01,0.0388,1.9855,0.2687,0.1235,1.6964,0
TCGA.CD.A487.01,0.3331,1.8902,0.5665,0.287,0.9536,0.0368
TCGA.BR.8486.01,0.0748,0.5513,0.7778,0.1549,7.0492,0
TCGA.HU.A4GU.01,0,0.3218,0.5336,0.1234,0.9634,0
TCGA.IN.8462.01,0.0158,1.6114,0.9205,0.1121,3.441,0.0412
TCGA.VQ.A8PM.01,0.0566,0.4383,0.2711,0.1503,4.7247,0.0598
TCGA.IN.A6RS.01,0.1038,0.4124,0.2369,0.0719,4.7868,0
TCGA.BR.7723.01,0.0475,1.5938,1.3372,0.0224,3.3205,0
TCGA.BR.8487.01,0.0059,1.3593,0.8085,0.1995,0.8149,0.0057
TCGA.3M.AB46.01,0.117,0.3961,0.3648,0.0966,1.5229,0.0042
TCGA.BR.4357.01,0.0664,3.5259,1.3938,0.1347,2.5534,0.0294
TCGA.D7.A748.01,0.8161,9.2087,4.6982,0.2917,7.4667,0
TCGA.SW.A7EB.01,0.0782,1.015,3.5183,0.0332,4.9922,0
TCGA.VQ.A8E2.01,0.0936,1.5183,0.3387,0.0692,4.0781,0.2143
TCGA.CD.8533.01,0.0134,1.0017,0.6376,0.0617,8.0641,0.0523
TCGA.BR.4371.01,0.1911,0.4189,0.2354,0.0549,3.0654,0.0353
